"filename", "language", "Properties", "Markdown", "XML", "Python", "Batch", "JSON", "comment", "blank", "total"
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\actions\desactivate_vibration.py", "Python", 0, 0, 0, 14, 0, 0, 2, 3, 19
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\actions\enable_dnd.py", "Python", 0, 0, 0, 31, 0, 0, 4, 10, 45
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\actions\log_event.py", "Python", 0, 0, 0, 10, 0, 0, 1, 5, 16
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\actions\open_app.py", "Python", 0, 0, 0, 41, 0, 0, 6, 12, 59
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\actions\open_url.py", "Python", 0, 0, 0, 20, 0, 0, 4, 8, 32
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\actions\set_timer.py", "Python", 0, 0, 0, 23, 0, 0, 1, 5, 29
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\actions\set_volume.py", "Python", 0, 0, 0, 33, 0, 0, 9, 10, 52
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\actions\show_notification.py", "Python", 0, 0, 0, 9, 0, 0, 1, 5, 15
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\actions\text_clipboard.py", "Python", 0, 0, 0, 16, 0, 0, 1, 5, 22
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\actions\toggle_flashlight.py", "Python", 0, 0, 0, 25, 0, 0, 3, 9, 37
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\actions\toggle_hotspot.py", "Python", 0, 0, 0, 21, 0, 0, 4, 4, 29
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\actions\vibrate.py", "Python", 0, 0, 0, 18, 0, 0, 1, 6, 25
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\config\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\config\actions_template.json", "JSON", 0, 0, 0, 0, 0, 93, 0, 1, 94
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\config\tags.json", "JSON", 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\config\workflows.json", "JSON", 0, 0, 0, 0, 0, 156, 0, 1, 157
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\dispatcher.py", "Python", 0, 0, 0, 43, 0, 0, 10, 17, 70
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\errors.py", "Python", 0, 0, 0, 11, 0, 0, 5, 4, 20
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\exceptions\__init__.py", "Python", 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\exceptions\action_errors.py", "Python", 0, 0, 0, 11, 0, 0, 5, 6, 22
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\exceptions\base_error.py", "Python", 0, 0, 0, 2, 0, 0, 1, 1, 4
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\exceptions\configuration_errors.py", "Python", 0, 0, 0, 3, 0, 0, 1, 2, 6
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\exceptions\registry_errors.py", "Python", 0, 0, 0, 7, 0, 0, 3, 6, 16
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\main.py", "Python", 0, 0, 0, 40, 0, 0, 7, 16, 63
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\nfc\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\nfc\android_reader.py", "Python", 0, 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\nfc\reader.py", "Python", 0, 0, 0, 5, 0, 0, 1, 2, 8
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\nfc\simulator.py", "Python", 0, 0, 0, 4, 0, 0, 1, 2, 7
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\registries\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\registries\action_registry.py", "Python", 0, 0, 0, 32, 0, 0, 14, 5, 51
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\registries\tag_registry.py", "Python", 0, 0, 0, 5, 0, 0, 13, 3, 21
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\registries\workflow_registry.py", "Python", 0, 0, 0, 5, 0, 0, 16, 2, 23
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\storage\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\storage\json_storage.py", "Python", 0, 0, 0, 13, 0, 0, 7, 5, 25
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\utils\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\utils\android_utils.py", "Python", 0, 0, 0, 6, 0, 0, 6, 3, 15
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\validators\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\validators\tag_validator.py", "Python", 0, 0, 0, 11, 0, 0, 5, 4, 20
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\python\mobile\validators\workflow_validator.py", "Python", 0, 0, 0, 28, 0, 0, 5, 13, 46
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 170, 0, 0, 0, 0, 1, 171
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\res\drawable\ic_launcher_foreground.xml", "XML", 0, 0, 30, 0, 0, 0, 0, 0, 30
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\res\mipmap-anydpi\ic_launcher.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\res\mipmap-anydpi\ic_launcher_round.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\res\values\colors.xml", "XML", 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\res\values\strings.xml", "XML", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\res\values\themes.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\res\xml\backup_rules.xml", "XML", 0, 0, 9, 0, 0, 0, 4, 0, 13
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\res\xml\data_extraction_rules.xml", "XML", 0, 0, 9, 0, 0, 0, 10, 0, 19
"c:\Users\ander\Desktop\Kirby\NFCAutomation\app\src\main\res\xml\nfc_tech_filter.xml", "XML", 0, 0, 27, 0, 0, 0, 0, 1, 28
"c:\Users\ander\Desktop\Kirby\NFCAutomation\gradle.properties", "Properties", 3, 0, 0, 0, 0, 0, 16, 0, 19
"c:\Users\ander\Desktop\Kirby\NFCAutomation\gradle\gradle-daemon-jvm.properties", "Properties", 11, 0, 0, 0, 0, 0, 1, 1, 13
"c:\Users\ander\Desktop\Kirby\NFCAutomation\gradle\wrapper\gradle-wrapper.properties", "Properties", 6, 0, 0, 0, 0, 0, 1, 1, 8
"c:\Users\ander\Desktop\Kirby\NFCAutomation\gradlew.bat", "Batch", 0, 0, 0, 0, 41, 0, 32, 22, 95
"Total", "-", 20, 98, 355, 634, 41, 254, 232, 299, 1933
